invoice_id,customer_id,product_id,quantity,invoice_date,unit_price,line_total
INV000001,C00001,P04173,22,2023-12-13,62.05,1365.10
INV000002,C00001,P00214,1,2023-07-22,231.67,231.67
INV000003,C00001,P00071,2,2023-08-10,64.09,128.18
INV000004,C00001,P00162,2,2024-06-11,200.36,400.72
INV000005,C00001,P00043,2,2024-05-26,178.91,357.82
INV000006,C00001,P05004,15,2024-02-10,9.34,140.10
INV000007,C00001,P04448,43,2023-10-18,102.83,4421.69
INV000008,C00001,P04573,35,2024-07-19,5.85,204.75
INV000009,C00001,P04165,29,2023-07-06,52.56,1524.24
INV000010,C00001,P04439,49,2024-01-23,74.80,3665.20
INV000011,C00001,P04512,8,2024-10-26,121.86,974.88
INV000012,C00001,P04614,12,2025-12-16,13.29,159.48
INV000013,C00001,P04967,17,2023-03-06,7.56,128.52
INV000014,C00001,P04780,19,2023-12-29,84.97,1614.43
INV000015,C00001,P04193,30,2025-05-20,43.09,1292.70
INV000016,C00001,P04681,7,2024-05-02,35.46,248.22
INV000017,C00001,P01231,14,2023-04-26,32.42,453.88
INV000018,C00001,P00710,25,2024-04-19,33.77,844.25
INV000019,C00001,P00494,4,2025-09-29,220.01,880.04
INV000020,C00001,P00185,2,2025-06-23,256.72,513.44
INV000021,C00001,P05016,16,2024-09-12,10.35,165.60
INV000022,C00001,P04236,25,2025-02-06,11.96,299.00
INV000023,C00001,P04869,16,2025-08-20,17.54,280.64
INV000024,C00001,P04191,24,2023-05-29,38.75,930.00
INV000025,C00001,P00375,1,2023-10-29,51.99,51.99
INV000026,C00001,P05001,12,2024-03-15,8.15,97.80
INV000027,C00001,P00740,12,2025-06-03,37.82,453.84
INV000028,C00001,P00079,2,2023-09-27,111.02,222.04
INV000029,C00001,P04929,15,2025-09-27,21.57,323.55
INV000030,C00001,P04647,38,2025-03-24,6.89,261.82
INV000031,C00001,P04985,18,2025-09-13,6.39,115.02
INV000032,C00001,P00696,18,2023-11-16,33.08,595.44
INV000033,C00001,P04989,15,2023-03-12,3.17,47.55
INV000034,C00001,P04163,13,2025-04-16,40.59,527.67
INV000035,C00001,P04441,43,2025-12-31,96.39,4144.77
INV000036,C00001,P04866,4,2023-04-28,11.20,44.80
INV000037,C00001,P00060,2,2025-09-18,60.11,120.22
INV000038,C00001,P04921,8,2023-05-06,9.57,76.56
INV000039,C00001,P01160,23,2023-06-27,36.58,841.34
INV000040,C00001,P01202,17,2023-05-07,22.85,388.45
INV000041,C00001,P00631,18,2023-06-23,114.63,2063.34
INV000042,C00001,P00063,3,2024-12-09,111.46,334.38
INV000043,C00002,P00727,24,2023-05-26,17.39,417.36
INV000044,C00002,P05149,3,2023-04-09,952.58,2857.74
INV000045,C00002,P01244,19,2025-09-15,20.24,384.56
INV000046,C00002,P01893,44,2025-02-12,106.09,4667.96
INV000047,C00002,P01822,66,2023-04-16,46.23,3051.18
INV000048,C00002,P05282,15,2025-02-27,257.77,3866.55
INV000049,C00002,P01400,63,2025-03-02,24.12,1519.56
INV000050,C00002,P02010,44,2023-10-05,61.80,2719.20
INV000051,C00002,P00960,23,2025-01-03,112.09,2578.07
INV000052,C00002,P04422,17,2025-07-15,86.94,1477.98
INV000053,C00002,P02036,51,2024-06-09,65.47,3338.97
