product_id,product_name,brand,l2_category,l3_category,functionality,unit_price,unit_of_measure,in_stock
P00001,Black+Decker 18V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,126.63,Each,TRUE
P00002,Bosch 18V MAX Cordless Drills,Bosch,Power Tools,Cordless Drills,Drilling,179.93,Each,TRUE
P00003,Makita 18V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,294.34,Each,TRUE
P00004,Ryobi 24V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,251.11,Each,TRUE
P00005,DeWalt 24V MAX Cordless Drills,DeWalt,Power Tools,Cordless Drills,Drilling,220.39,Each,TRUE
P00006,Ryobi 20V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,199.96,Each,TRUE
P00007,Makita 24V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,120.44,Each,TRUE
P00008,Makita 24V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,272.07,Each,TRUE
P00009,DeWalt 18V MAX Cordless Drills,DeWalt,Power Tools,Cordless Drills,Drilling,154.43,Each,TRUE
P00010,Makita 20V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,267.11,Each,TRUE
P00011,Milwaukee 18V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,182.04,Each,TRUE
P00012,Ryobi 24V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,275.93,Each,TRUE
P00013,Makita 20V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,236.50,Each,TRUE
P00014,Milwaukee 24V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,147.23,Each,TRUE
P00015,Makita 18V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,215.31,Each,TRUE
P00016,Milwaukee 18V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,163.89,Each,TRUE
P00017,Milwaukee 20V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,198.20,Each,TRUE
P00018,Ryobi 24V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,216.74,Each,TRUE
P00019,Black+Decker 20V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,168.33,Each,TRUE
P00020,DeWalt 18V MAX Cordless Drills,DeWalt,Power Tools,Cordless Drills,Drilling,297.87,Each,TRUE
P00021,Bosch 20V MAX Cordless Drills,Bosch,Power Tools,Cordless Drills,Drilling,161.38,Each,TRUE
P00022,Bosch 24V MAX Cordless Drills,Bosch,Power Tools,Cordless Drills,Drilling,133.62,Each,TRUE
